"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","Train_cost","Train_mse","Train_r2","Train_rmse","Validation_cost","Validation_mse","Validation_r2","Validation_rmse","mse","r2","rmse"
"run-72","sigmoid","16","10","0.01","[32]","sgd","0.02224790509424975","0.02224790509424975","0.4830445626775003","0.14915731659643702","0.024410304308054423","0.024410304308054423","0.2759238843694263","0.15623797332292308","0.024410304308054423","0.2759238843694263","0.15623797332292308"
"run-126","sigmoid","256","100","0.01","[32]","sgd","0.021513480804901113","0.021513480804901113","0.5001097482791153","0.146674744945751","0.02479362034927422","0.02479362034927422","0.2645536864938619","0.1574599007661132","0.02479362034927422","0.2645536864938619","0.1574599007661132"
"run-67","relu","256","100","0.1","[32,64]","batch-gd","0.019427470007505863","0.019427470007505863","0.5485805871944447","0.13938245946856392","0.02501289355179724","0.02501289355179724","0.25804944604109714","0.15815465074349613","0.02501289355179724","0.25804944604109714","0.15815465074349613"
"run-47","relu","256","10","0.1","[32]","minibatch-gd","0.021802322418143973","0.021802322418143973","0.4933981841179802","0.14765609509310468","0.02520132845200711","0.02520132845200711","0.2524599536336559","0.15874926283925578","0.02520132845200711","0.2524599536336559","0.15874926283925578"
"run-31","relu","16","100","0.1","[32,64]","batch-gd","0.017292590500371546","0.017292590500371546","0.5981869462905518","0.13150129467184551","0.02520912636385509","0.02520912636385509","0.25222864632795183","0.15877382140597074","0.02520912636385509","0.25222864632795183","0.15877382140597074"
"run-20","relu","16","100","0.01","[32]","minibatch-gd","0.019324065567156417","0.019324065567156417","0.5509833072463095","0.13901102678261323","0.025215633247156363","0.025215633247156363","0.25203563444550303","0.15879431112970124","0.025215633247156363","0.25203563444550303","0.15879431112970124"
"run-189","tanh","256","10","0.1","[32]","sgd","0.023332337405781903","0.023332337405781903","0.4578465416737316","0.15274926319227175","0.025516901510512408","0.025516901510512408","0.2430991971467006","0.15974010614279813","0.025516901510512408","0.2430991971467006","0.15974010614279813"
"run-190","tanh","256","10","0.1","[32]","batch-gd","0.02915310825696971","0.02915310825696971","0.32259429530795636","0.1707428131927365","0.025517793648234924","0.025517793648234924","0.24307273391180703","0.15974289858467863","0.025517793648234924","0.24307273391180703","0.15974289858467863"
"run-138","sigmoid","256","100","0.1","[32,64]","sgd","0.020945613751053187","0.020945613751053187","0.5133047866397774","0.14472599542256803","0.02569420718354437","0.02569420718354437","0.2378398279316316","0.16029412710247487","0.02569420718354437","0.2378398279316316","0.16029412710247487"
"run-191","tanh","256","10","0.1","[32]","minibatch-gd","0.022391482433522528","0.022391482433522528","0.4797083795223256","0.14963783757299665","0.025758694846200317","0.025758694846200317","0.2359269482029425","0.1604951552109917","0.025758694846200317","0.2359269482029425","0.1604951552109917"
