"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","accuracy","f1","hamming_loss","precision","recall"
"run-159","tanh","16","10","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-42","relu","256","10","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-111","sigmoid","256","10","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-123","sigmoid","256","10","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-71","relu","256","100","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-35","relu","16","100","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-87","sigmoid","16","10","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-121","sigmoid","256","10","0.1","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-197","tanh","256","10","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-158","tanh","16","10","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-14","relu","16","10","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-76","sigmoid","16","10","0.01","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-11","relu","16","10","0.1","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-192","tanh","256","10","0.1","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-162","tanh","16","100","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-137","sigmoid","256","100","0.1","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-68","relu","256","100","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-96","sigmoid","16","100","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-178","tanh","16","100","0.1","[32,64,32]","batch-gd","0.35","0.5176252319109462","0.65","0.34962406015037595","0.9964285714285714"
"run-0","relu","16","10","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-8","relu","16","10","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-6","relu","16","10","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-90","sigmoid","16","100","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-176","tanh","16","100","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-112","sigmoid","256","10","0.01","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-142","sigmoid","256","100","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-70","relu","256","100","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-23","relu","16","100","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-143","sigmoid","256","100","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-191","tanh","256","10","0.1","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-103","sigmoid","16","100","0.1","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-180","tanh","256","10","0.01","[32]","sgd","0.35","0.516728624535316","0.65","0.3492462311557789","0.9928571428571428"
"run-174","tanh","16","100","0.1","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-107","sigmoid","16","100","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-153","tanh","16","10","0.1","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-88","sigmoid","16","10","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
