,words,PC1,PC2,PC3,PC4,PC5
40,fight,-2.7835683408567657,0.3010841112920844,0.41952148694634306,0.16102164639611324,0.36474010426058856
41,puppet,0.1919315868066591,0.31020667521241113,0.448770569687796,0.7028570015655834,-0.40228790112030166
42,call,-2.25008095838421,0.6315533188513319,-0.8556569120664483,0.28947791301948683,0.12225971171260987
43,fly,-0.6390223204842601,-0.8687156215907803,1.0700211698409616,-0.1276335616360222,0.2596264060764157
44,gym,1.2010572947868567,-1.8157363605699377,-0.9924199998083818,-1.0158292520159222,1.7066534043512482
45,lake,0.3068392711118136,-0.05398656457156845,0.9410712544045208,-1.0891090990041798,0.8899380556795937
46,face,-0.7041572626995414,-0.3694293281689556,-0.03550354948123653,-0.1152761756782514,-0.013587111512644438
47,climb,-0.16797367364566249,0.41796365787209644,0.8830178753622174,-0.7109786842158439,-0.5277814902312068
48,kneel,-0.33546670802411044,-0.0797149440573103,-0.08870415540413834,-0.027956061078931057,-1.06049929333174
49,scream,-0.44877207924021917,0.942801723972867,0.546191060922123,0.3618499736907705,-0.02057092675017874
50,monkey,0.3067616359998411,-0.4583046511120195,1.7788421143203308,-0.09877676805660733,-0.5203317470169331
51,kiss,-0.5272396965248827,0.19760491180326786,0.27654885977076904,0.06229821242882133,0.8352350233138002
52,passport,-0.1594352632543251,1.0636018108381315,-0.7042284765934536,-0.3141331123606187,0.25304179462242216
53,selfie,-1.0388474201623292,-0.4927368901146205,-0.4211310834711798,-0.17301610336591514,0.750459679499029
54,roof,0.6833713454265484,-0.13585636221423467,-0.3043155543757876,-1.2367766974619852,-0.5885644552973109
55,stairs,1.825353410478977,0.6394266411258563,-0.8341056933291389,-1.284552348593043,-0.9606022267876261
56,rifle,1.0851934460451582,-1.2291376579458744,-0.4535501514487337,0.6611800557459216,0.5257653235565984
57,catch,-1.1279505546870472,0.6893660144890215,0.3565828170157003,-0.26962714135600563,0.7823695736221934
58,cow,1.6446441133874585,-2.6086849744981087,0.42919387687929783,0.16648128935481316,-0.17360199101251567
59,hit,-3.8081013005355726,-0.05467654806371253,0.2181657510200791,0.38211174032064255,-0.2826373122107852
60,pencil,2.1429979807986865,-1.0330364533095888,-1.4002100444442984,1.9435389162080148,0.9318818842550244
61,bed,1.122130145185713,-1.1791688491291579,-1.1779478812478843,-0.8197765006578082,-0.41426863072374226
62,starfish,2.340742620549067,-0.7212016332343064,1.0058473256850822,0.14366135322217854,-0.12356636212302514
63,paint,-1.0841346543111003,0.2546700313088718,0.008878335124791513,0.4016841863972611,0.8722252051601412
64,plant,0.19896436154259806,-0.3364813228914515,0.3891068512379586,-0.2299145350175113,-0.16878648499034815
65,far,-1.8744033384369692,-0.09292648636644597,0.05300806148900143,0.22701822035937994,-0.33460849835827267
66,microwave,1.0700042026586902,0.9847453921732332,-1.336015535866901,-0.30414684827599364,-0.36714386272211524
67,dig,-0.613963962452026,-2.25372000192706,-0.6105330503059303,0.9082378967727193,-0.31733602286579826
68,cry,-3.6700881964517262,-0.7335604194977258,0.21879409383887977,0.3434183527109804,-0.21274812787247654
69,notebook,-0.5356007825199014,1.379415433867533,-0.8803091406097305,-0.41820410291930843,0.26811964932854104
70,run,-0.7338229857863008,-2.7064606957995267,-0.450679038632717,0.6753971877286193,0.6638460124193014
71,clap,-0.9548605754084556,-1.1498598000938984,-0.24056820363268938,0.22335376712830837,-0.2775870293089874
72,pull,-0.6066384852013524,-0.7096186928238615,-0.620884932950065,0.532776820624848,-0.11475662861102115
73,sleep,-1.8674411016821562,-0.07485721037031408,0.3542881606331764,-0.5960975806350326,0.11836770623560723
74,knit,1.1910830716666971,0.871853279894106,-0.258576611774337,0.5414281902716426,1.1459938858607013
75,van,1.270691040023671,-1.9415777585882252,-1.104002207598128,-0.07777659991472985,-0.11562259857190352
76,sweater,2.204707776909552,-0.11696312694560916,-0.8809670548455721,-0.045383952164983525,0.6662203003295674
77,cigarette,0.02616751236417096,0.3645921445942292,-0.33975872244214944,0.8137103610391396,1.0653732605832051
78,microphone,1.4455458779187818,0.2059827703208154,-1.382796800817883,0.580325341006844,0.9422387424859539
79,baseball,-0.2524770122181833,0.4663741935529907,0.051812125077942826,-0.8856003774354005,2.1894607381197124
80,hollow,-0.743839791933501,0.6209983909643529,0.5209635771456481,0.13775467489221788,-0.3590816582440561
81,jacket,1.5070581722847192,0.038720551981148335,-0.8337968328933218,-0.2849860649340385,0.16165235528458652
82,bench,1.6483133203211304,0.06831487988139642,-1.5911925774442244,-1.2993146959159874,-0.8404102777501404
83,sun,1.632175325955299,-2.0294081552616405,-0.291805881168312,0.3084675806298246,0.30066694541837335
84,bucket,0.4797083455411099,0.705748088974119,-0.3929554215385773,-0.7339424284973274,-0.353105717721838
85,puppy,-0.49046371085048135,-0.5804296669244385,1.316400777826698,-0.08636515790425814,-0.10571797794074245
86,clean,-2.3448996721273754,-0.030917982720856788,0.5541272266729607,0.06060953134849574,0.01272302441929238
87,feet,0.8056849416389871,-0.9093099135098212,-0.420362583440475,-0.08991795663414748,-0.45104806060328023
88,boat,0.4901277104898026,-0.10836245915847918,0.04837353434812624,-1.1454635551118926,0.4106814716408805
89,pear,1.667991425807502,0.2796477037665907,0.5365244381218799,0.5397862629074685,-0.7946872839648802
90,basket,-0.4448163055787673,1.0025246817896811,0.09462955686297791,-1.849922872555985,1.1360374668298607
91,sad,-2.3159286195509177,-3.1849981156517893,-0.51465695071328,0.9783241268036046,0.13275519643914105
92,empty,-0.8941656825952647,0.2546489508452891,0.23671559172282272,0.20668918619630203,-0.06777573658138974
93,peacock,3.6190096715466393,-0.5933007803800546,0.5404716063727479,0.12424267329295544,-0.38240732233602404
94,fish,-0.3402113219042929,-0.20878228734448087,1.4299771191155068,0.04704154948299364,0.792370764527144
95,saturn,1.5885067919277873,0.632145134396232,0.9107165533535161,-0.3750119875841068,0.13409943131431618
