,PC,eigenvalues,normalised_eigenvalues
98,PC99,12.208959533249725,0.002696362717264002
99,PC100,12.136209219555832,0.002680295727036108
100,PC101,11.825679653216957,0.0026117149161157334
101,PC102,11.62879357661023,0.002568232400258016
102,PC103,11.505020768176886,0.0025408970335413163
103,PC104,11.12029242249157,0.0024559293370922134
104,PC105,10.95823450489361,0.00242013866010139
105,PC106,10.844176576567326,0.0023949488357998343
106,PC107,10.568456333251504,0.0023340557037973024
107,PC108,10.453089989427719,0.0023085769144322995
108,PC109,10.10150864730737,0.00223092977174195
109,PC110,9.910586890072356,0.002188764482658876
110,PC111,9.83721164442244,0.002172559475491664
111,PC112,9.736361456706307,0.0021502865958538623
112,PC113,9.550755280443486,0.0021092952589257604
113,PC114,9.367767996129452,0.0020688823072885607
114,PC115,9.22193087717782,0.0020366740122849235
115,PC116,9.190961768239658,0.002029834449052665
116,PC117,8.933113709225044,0.0019728884094534303
117,PC118,8.726762414633038,0.00192731548934654
118,PC119,8.587149045297245,0.001896481716584543
119,PC120,8.497324704974364,0.0018766439079907927
120,PC121,8.418870176433844,0.001859317135370974
121,PC122,8.236330767690275,0.0018190030975672494
122,PC123,8.196646591491277,0.0018102388017337755
123,PC124,7.991032532835654,0.0017648287010290857
124,PC125,7.923104328596475,0.001749826679205489
125,PC126,7.748608859171943,0.0017112891546272131
126,PC127,7.412228919667779,0.0016369992591414898
127,PC128,7.362524018059187,0.0016260218746069854
128,PC129,7.205227779125277,0.0015912828198110236
129,PC130,6.932576402238693,0.0015310674504795472
130,PC131,6.872438625884756,0.0015177859535904544
131,PC132,6.760152516938864,0.0014929874376314323
132,PC133,6.626086245479709,0.001463378747798316
133,PC134,6.429530876232866,0.0014199692690403682
134,PC135,6.32786563460398,0.001397516383811024
135,PC136,6.286379972985595,0.001388354227856276
136,PC137,6.247037987190576,0.0013796655051660318
137,PC138,5.942672539606467,0.0013124460469432296
138,PC139,5.8757343957700625,0.0012976626810952397
139,PC140,5.733473123331287,0.0012662441158956587
140,PC141,5.595674175049331,0.0012358110601046418
141,PC142,5.578260255407985,0.0012319651759771302
142,PC143,5.424931689767215,0.0011981023863790968
143,PC144,5.319864129719482,0.0011748980952243045
144,PC145,5.297628234968717,0.001169987272362808
145,PC146,5.092706534602229,0.0011247300797804464
146,PC147,4.949941744454481,0.0010932003121172764
147,PC148,4.900590739145256,0.001082301085986426
148,PC149,4.746133305841548,0.0010481889846701597
149,PC150,4.688908283020367,0.001035550772739864
150,PC151,4.542759644693558,0.0010032736783248892
151,PC152,4.463511841934881,0.0009857717101840618
152,PC153,4.402383822229196,0.0009722715169148719
153,PC154,4.247479233974721,0.0009380606609148174
154,PC155,4.173555831703321,0.0009217345927289844
155,PC156,4.099400633931564,0.0009053573322410154
156,PC157,3.9988455498227755,0.0008831496265733962
157,PC158,3.9151279371746797,0.0008646604957913736
158,PC159,3.7988805500562632,0.0008389871270041465
159,PC160,3.7360264588604877,0.0008251057288664715
160,PC161,3.5974322838941215,0.0007944970463500341
161,PC162,3.5624831467576974,0.0007867784893248788
162,PC163,3.4756961222909792,0.00076761147542193
163,PC164,3.4364799306682667,0.0007589505345189326
164,PC165,3.3548657398249135,0.0007409259468552275
165,PC166,3.3102305456541905,0.000731068213023609
166,PC167,3.1573372045073707,0.0006973015432542909
167,PC168,3.120856666957732,0.000689244774691277
168,PC169,3.0491094776182845,0.0006733993256277012
169,PC170,2.964858961475782,0.0006547925024976695
170,PC171,2.909347387688336,0.0006425327077518941
171,PC172,2.8778194640928128,0.0006355697296615663
172,PC173,2.732604877353831,0.0006034989216111714
173,PC174,2.705585429862851,0.0005975316456400012
174,PC175,2.6057301937350097,0.0005754785022017382
175,PC176,2.4959813126586856,0.0005512403359280497
176,PC177,2.437310982433298,0.0005382829261996882
177,PC178,2.3566981360449244,0.0005204794866074623
178,PC179,2.314043196912292,0.0005110590943724673
179,PC180,2.1978646811309566,0.0004854009358990336
180,PC181,2.193189710513327,0.00048436846327568257
181,PC182,2.0627967131439897,0.00045557102023874915
182,PC183,2.027091173673436,0.0004476854108904664
183,PC184,2.0103843177426013,0.00044399568259446205
184,PC185,1.9174074299037356,0.00042346163026566185
185,PC186,1.8847285526420512,0.0004162444627379554
186,PC187,1.8449853702782666,0.0004074671353253049
187,PC188,1.8131326850207066,0.00040043243324939685
188,PC189,1.7857038612336937,0.0003943747460536707
189,PC190,1.6638263627586842,0.0003674579607152936
190,PC191,1.5027532731988784,0.00033188478412634774
191,PC192,1.4079734414126668,0.00031095254955870066
192,PC193,1.3396061320498227,0.0002958535508648653
193,PC194,1.3007718719799493,0.0002872769599834088
194,PC195,1.2344606590116838,0.0002726320525367713
195,PC196,1.195008118955713,0.00026391891381118414
196,PC197,1.0982394403624898,0.00024254744014489226
197,PC198,1.0003391059425433,0.00022092603899119724
198,PC199,0.6076900376155441,0.00013420904186117565
199,PC200,8.188253162986944e-29,1.808385103420871e-32
